,name,pow_received_kinetic,pow_received_magnetic,pow_received_spi,freq_max_planet,freq_max_star
1558,TOI-2445 b,0.02109254852137598,20693441.006499868,17186234.89586581,21.361064745728772,257.20231093669895
129,G 264-012 b,0.02007713388934925,19955389.648028668,1438775.9737182832,6.288741832131636,872.2295614356477
1329,LHS 1140 c,0.026967158693559527,19342304.968729626,1905551.7017216925,5.013224240859044,508.86739024563
1346,LP 890-9 b,0.0010498894156327305,19186305.757282335,1948707.302544925,12.80418911174364,1260.6566771271969
1836,WISE J0720-0846,0.06047046549940659,19175213.921569787,8216017.703594946,274.33397228370745,6402.6305617530215
157,GJ 179 c,0.06996433850246721,17164664.18868431,949826.2453657531,4.602089465902347,831.6607446246875
1316,L 363-38 b,0.5564343391505493,17064530.50607547,3448220.5478572096,6.377326450238716,315.6006996853123
194,GJ 3512 b,0.9057206052750122,15387972.27434921,6543.544736780538,0.11040887799395273,2596.4042759014624
141,GJ 1252 b,0.1010945520279478,14851435.889262283,11583724.945979137,16.018561002941016,205.3731704463453
1598,TOI-519 b,0.10072512820641019,14809800.587221507,2508751.638330007,3.8764173456297786,228.83479976455055
1511,TOI-1685 b,0.4668052467717169,14253823.437956948,2418955.074969273,12.73680494320819,750.5231110027664
1642,TRAPPIST-1 e,0.0030809745844791957,12723708.036286926,202128.4031281719,1.9334246279652292,1217.0645043288107
71,CFHTWIR-Oph 98 b,0.00014674752267786605,12488085.431794792,877.3489997042318,38.55787757907999,5488284.245363726
192,GJ 3473 b,0.013927254473597366,10924886.14115334,1861442.1028880472,8.98603916880659,527.3946185424846
1837,Wolf 1061 b,0.17079808787759593,10911481.967910243,946023.9837845012,4.044907454483974,466.5413933260441
1356,LTT 1445A c,0.08490820604431219,10870497.988035608,2476024.5643838514,5.748406201087556,252.37244792393076
1313,KL Dra b,15031.247417700895,10157424.217501657,1211684838.9088855,1421.722999447601,119.18151619502167
1331,LHS 1610 b,0.2558705977887791,9513806.478953162,12486437.943402046,52.138329466300206,397.2581923897604
1555,TOI-2406 b,0.0078096867431635,7845181.358965906,815215.7683369952,4.964811442398757,477.78573098682045
253,GJ 876 d,5.457729577335542,7422123.047216453,5189646.763800088,7.091563543707276,101.42204202740088
