,name,pow_received_kinetic,pow_received_magnetic,freq_max_planet,pow_received_spi,freq_max_star
1439,SDSS 1604+1000 b,0.0002874209273426842,26703.993651969045,880.0043788251119,925783.7364265204,253.83499862028438
576,HD 189733 b,213.10712364059427,51089.128580706296,81.1513952321201,630836.9594720377,65.72148323375578
1451,tau Boo A b,9.488583630829606,702.0395309640983,261.7118835670105,346763.7660743358,5.298480001734902
1419,Qatar-2 b,0.05149619917391522,6470.691459246166,91.6354393336541,263550.9366043639,22.498294344924286
1807,WASP-80 b,0.16003216178990137,267009.74716654356,9.388266015786705,257996.99221264845,97.16231626225004
1746,WASP-18 b,8.00626071099753,291.6549770147818,880.1297840335247,228838.25773542258,11.21727784823054
289,HAT-P-20 b,0.025797433352969468,2924.8268648467683,153.6908832980145,218193.42764522444,20.601868223224685
970,HS Psc b,49.19819735628615,16403.67606875,119.64356242899368,186511.88321373655,105.22623052105537
860,HD 80606 b,0.1365782572178266,352.09249615805567,109.52859004784294,103911.29904285923,3.711260952931714
1580,TOI-431 c,0.22470573548130676,1594.2300710437598,90.59135672496481,98386.5291338622,14.679190976550501
194,GJ 3512 b,0.23584385670782457,4006929.628142487,6.25335431251477,96505.58236501292,2596.4042759014624
1849,XO-3 b,0.04630035830798519,735.508862030119,598.198914890134,87646.7550992033,50.19930317562821
477,HD 143105 b,1.9525747205595139,2080.817258228971,25.584192609249016,81748.30507230222,6.512187558151191
1578,TOI-4201 b,0.00924062620077132,7333.324344596078,86.32148951178198,80349.44765312901,78.78379988762677
1426,Qatar-9 b,0.016377223258256093,10918.404859439368,23.925140878895753,79494.86777509298,32.860533232656394
1066,K2-31 Ab,0.2153422412414177,823.6391309718638,50.603465194258405,72923.56236103736,5.715435827231722
618,HD 20782 b,0.2728635432814085,532.1494585888618,49.34374759471495,69033.0064005426,3.803723745554072
188,GJ 3341 b,0.15870466197149782,170604.10712582493,5.369301503007096,53217.67207583745,172.12795168952542
299,HAT-P-2 b,0.1986672255264453,266.7304346149305,309.1367501438206,53136.97735354769,15.517664690011443
1136,KELT-1 b,0.1198263693764512,29.524572780393804,1353.150983608938,47986.26215251823,8.325550460972295
251,GJ 876 b,5.4848527490928,2922.335562431239,164.7537155827577,47471.49953459808,101.42204202740088
1382,NGTS-1 b,0.018832754358573636,28946.375023476423,11.51122127558929,40282.8716791625,82.71707406445654
291,HAT-P-22 b,0.028994909845284328,899.6161643294284,41.58008245761708,39779.5241891381,9.403358902728321
1418,Qatar-1 b,0.05280203171412103,1095.395354492886,34.05421149815239,37392.95467750094,9.975896635533644
346,HATS-71A b,0.027041888191626628,105989.25049707812,5.180196973099506,31614.046086525483,173.67128304404642
164,GJ 229 B,0.006964384362895467,1138.2576360677185,2015.4048541664783,29761.644862832887,770.8075194082469
1680,WASP-10 b,2.8086429168472944,513.9685027211036,232.98489005600624,26531.533899975184,45.13380023566542
1577,TOI-4184 b,0.000930061548552627,61250.26783277089,11.653142046973517,26352.34162412749,270.8518588788158
566,HD 179949 b,8.010639798991019,426.14548084034624,32.10526165343785,21277.10283964885,6.430157464537215
364,HD 103720 b,0.4501092917172848,3015.194911852332,13.062987334764605,20167.33861662846,19.530317655745506
735,HD 330075 b,0.2774618556754025,1048.5541621589334,9.845368760951985,18826.431371755214,5.483462154050963
653,HD 217107 b,0.5767362957170766,210.30665596115637,31.399713582531387,18677.386070388617,3.5355957931124355
1134,KELT-16 b,0.11815493799890049,55.85718033532218,145.58494035448825,16358.400997650877,4.971124175679245
812,HD 63454 b,27.00153062639373,4696.156640512126,8.239713657829915,15691.637560400179,24.659622592729317
729,HD 30774 b,0.049376619163777634,9.353880345597213,633.3714998371292,15590.096775333368,3.8001567977189596
1466,TOI-1130 c,0.03643627793616449,3229.1432208472957,18.33797240453426,15257.040020790477,38.812206819602075
1486,TOI-1278 b,0.010060560036599754,288.50343548669787,596.2696757442584,15119.732649195974,113.77572204486422
1709,WASP-140 b,0.3424681035502776,82.31716148526868,160.88363508276584,13627.222088287454,9.718403416076855
93,CoRoT-2 b,0.01768983779891491,41.756361152320736,144.59074577007024,13593.923568480395,4.441383953090269
313,HAT-P-54 b,0.0370827290482807,3608.1533101807263,17.400232225750752,12955.337934932142,48.460878302503936
1674,WASP-104 b,0.0767039522173065,158.3587764695326,33.15595980977698,11762.111254851761,4.463941136403962
358,HD 102195 b,3.7631372042407065,912.3375438922202,10.098960265428968,11702.9014706396,7.872971183720509
328,HATS-18 b,0.053440753909406405,62.04038598329171,74.16936249957439,10673.65508644442,4.311077920676108
72,Cha Ha 8 b,0.006888102140796475,1185.6072738904618,2761.163498972951,10414.607284994614,3143.3307461337104
