;name;planet_mass;planet_radius;star_planet_distance;star_age;spectral_type;earth_distance;pow_received_kinetic;pow_received_magnetic;freq_max_planet;pow_received_spi;freq_max_star
921;HIP 12961 b;0.35;0.6849546711018344;0.1092;5200000000.0;K5V;23.0;0.19671461141040555;645.2015861040574;5.246573058688406;634.9888238183247;53.309556516621114
871;HD 83443 b;0.402;1.04;0.0401128;2940000000.0;K0/1V+G(III);43.54;2.2703875198011927;624.4321741523108;5.612196253996554;5283.45536713564;6.632848515104256
627;HD 209458 b;0.69;1.38;0.047080746;4000000000.0;F9V;47.0;1.7499304450777329;624.040434409755;6.291439920913722;6537.870135551526;6.005186429079586
1427;QZ Ser b;0.63;1.1577538315950044;0.019;5200000000.0;?+K4Ve;321.5;0.05942905230935673;587.656803104928;9.28793418823824;7796.412512402831;7.0008067220995125
709;HD 2638 b;0.48;1.04;0.044;3000000000.0;K1V;53.71;0.8283912557097176;534.5786962391522;8.361042199591406;4936.959407592662;9.053416625998898
618;HD 20782 b;1.9;1.1265254053551395;0.041430000000000036;7100000000.0;G1.5V;36.02;0.2728635432814085;532.1494585888618;49.34374759471495;69033.0064005426;3.803723745554072
1680;WASP-10 b;3.16;1.08;0.0349853;800000000.0;K5V;90.0;2.8086429168472944;513.9685027211036;232.98489005600624;26531.533899975184;45.13380023566542
1758;WASP-2 A b;0.847;1.079;0.03138;5200000000.0;K1.5;144.0;0.051720253159440184;451.2575531150675;17.677103273564512;9462.689201115672;8.42987252339491
1781;WASP-52 b;0.46;1.27;0.0272;500000000.0;K2V;140.0;20.207846575659612;431.8087206374962;5.59653414787886;1237.1487873346205;19.533885294477415
566;HD 179949 b;0.92;1.05;0.044532;2049999999.9999998;F8V;27.0;8.010639798991019;426.14548084034624;32.10526165343785;21277.10283964885;6.430157464537215
860;HD 80606 b;4.1641;1.032;0.03137865099999998;7630000000.0;G8V;58.4;0.1365782572178266;352.09249615805567;109.52859004784294;103911.29904285923;3.711260952931714
1746;WASP-18 b;10.4296;1.165;0.020289863999999998;630000000.0;F6IV/V;100.0;8.00626071099753;291.6549770147818;880.1297840335247;228838.25773542258;11.21727784823054
1486;TOI-1278 b;18.5;1.09;0.093765;5200000000.0;M0V;75.47;0.010060560036599754;288.50343548669787;596.2696757442584;15119.732649195974;113.77572204486422
1072;K2-33 b;3.7;0.45;0.0409;500000000.0;dM3.0;139.8;1.1761601067096779;284.2088302302111;75.46874924968206;705.8652512247185;303.86656526828835
299;HAT-P-2 b;8.74;0.951;0.03254746;2700000000.0;F8V;118.0;0.1986672255264453;266.7304346149305;309.1367501438206;53136.97735354769;15.517664690011443
572;HD 187123 b;0.52;1.0243386690518939;0.042173999999999996;5330000000.0;G2V;50.0;0.5072631440582878;240.2406368949874;7.764120207895692;5012.447036688513;3.721250658653125
177;GJ 317 c;1.644;1.6402483579733378;4.3409;5200000000.0;M3.5V;15.1;0.015043984752343562;235.7540445997596;36.96241193326246;536.9911422382672;162.2752672438414
1139;KELT-23A b;0.938;1.323;0.03302;6400000000.0;K;125.42;0.09888650956316322;211.06696762379408;15.089119537755902;7740.037676716055;4.114727651168666
