;name;planet_mass;planet_radius;star_planet_distance;star_age;spectral_type;earth_distance;pow_received_kinetic;pow_received_magnetic;freq_max_planet;pow_received_spi;freq_max_star
1192;Kepler-1971 b;0.00107;0.0455;0.008;3500000000.0;M1V;170.66;0.0005638483537125710;49685.01027545490;24.511173833793700;55741.29092432600;218.48039462323000
1579;TOI-431 b;0.00966;0.1142;0.0113;5200000000.0;K3+Vk:;32.61;0.21509207735311700;8623.959321450390;24.436394922886100;143562.7318389100;14.679190976550500
289;HAT-P-20 b;7.246;0.867;0.0355585;6700000000.0;K3V;70.0;0.04930109004263650;5589.592989735720;22.019529714604000;59742.25618591160;20.601868223224700
1558;TOI-2445 b;0.006;0.12267;0.0064;5200000000.0;M;48.6;0.02109254852137600;20693441.006499900;21.361064745728800;17186234.89586580;257.20231093669900
18;55 Cnc Ae;0.02703;0.1737;0.015006708000000000;10200000000.0;G8V;12.5855;2.471244978807710;6294.822313539150;19.873209197713600;242566.71078445000;5.157274891300480
1248;Kepler-42 b;0.009;0.07;0.0116;4500000000.0;M4V;38.7;0.0012359176494254300;6110603.157702890;18.747289197660700;1687357.3506541800;678.9151362939300
1530;TOI-1807 b;0.00809;0.1222;0.012;500000000.0;K3V;42.577;2.413185388606150;6157.734527090830;18.632749513356200;27922.113043914200;41.09127587606970
1596;TOI-500 b;0.005;0.1035;0.0128;5200000000.0;K;47.4;0.07601987253264690;2687.949018674740;17.082810487337000;30398.537015327600;15.105241302399400
860;HD 80606 b;4.1641;1.032;0.03137865100000000;7630000000.0;G8V;58.4;0.2538707706273230;654.4672274532180;17.054307650114600;30074.644670533500;3.711260952931710
141;GJ 1252 b;0.00415;0.1053;0.00916;5200000000.0;M2.5V;20.38;0.1010945520279480;14851435.889262300;16.018561002941000;11583724.945979100;205.3731704463450
1451;tau Boo A b;5.84;1.6;0.0423798;2520000000.0;F7 V;15.6;24.276776351026600;1796.1855368402200;15.626242513751500;52972.98619447080;5.298480001734900
1508;TOI-1634 b;0.01545;0.1597;0.012978;5200000000.0;M2;35.274;0.04786615921082820;2031686.358614780;15.005134861832100;1933046.2961401900;157.70821355304200
1622;TOI-732 b;0.00774;0.11821;0.01195;3100000000.0;M4.0;22.4;0.09129098788505930;34729668.931568200;14.42931725693160;8823198.467520110;567.9634353534450
1066;K2-31 Ab;1.774;1.6;0.022;5200000000.0;G7V;110.527;0.33072467423800800;1264.952856949990;13.969091161979400;30916.700508033400;5.715435827231720
1556;TOI-2411 b;0.0123;0.1499;0.0144;5200000000.0;K5V;59.5;0.029483128236902300;52467.47780098310;13.904917856125100;119258.6588745370;61.1742556746544
264;GJ 9827 b;0.01532;0.13641;0.01866;5200000000.0;K6V;30.3;0.04057760889635070;48423.3078972916;13.001494463445500;127307.56399587300;49.45310001758900
1346;LP 890-9 b;0.0415;0.1178;0.01875;7200000000.0;M6.0;32.33;0.0010498894156327300;19186305.757282300;12.80418911174360;1948707.302544930;1260.6566771272000
1511;TOI-1685 b;0.00988;0.157;0.012;1300000000.0;M2.65;37.609;0.4668052467717170;14253823.437956900;12.73680494320820;2418955.074969270;750.5231110027660
1419;Qatar-2 b;2.494;1.254;0.02153;5000000000.0;K;182.32;0.09993600491429160;12557.335567352800;12.537849205906200;69979.51816154080;22.498294344924300
1038;K2-266 Ab;0.0355;0.294;0.01306;8400000000.0;K7V;77.5586;0.12090012580777700;51460.05541812900;11.680451569813400;177095.3321507090;33.94085421629590
1609;TOI-6008 b;0.0035;0.0919;0.0108;5200000000.0;M5.0;23.2;0.010978342332455300;24325184.561440100;11.479257089485000;7201565.571861330;387.74214376523600
1513;TOI-1696 b;0.1787;0.2891;0.0235;5200000000.0;M4V;65.03;0.005569560100787090;621295.6828089940;10.872900446997300;220994.846563421;305.67618260694500
1629;TOI-824 b;0.058104;0.26104;0.02177;10900000000.0;K4V;63.71;0.014186380837900200;6716.283117472120;10.618416659556700;33502.902840650100;21.286601010087700
1595;TOI-4860 b;0.67;0.756;0.017630500000000000;5200000000.0;M4.5;80.0;0.05181000628873580;6334195.876032910;10.558114974101600;2969240.5848077500;225.23324202766000
1250;Kepler-42 d;0.003;0.051;0.0154;4500000000.0;M4V;38.7;0.0006003740183466760;1043273.519932820;10.495521682860900;161282.30561159500;678.9151362939300
1585;TOI-4481 b;0.006;0.11874;0.01406;4500000000.0;M2V;12.0641;0.16423291042537600;35428160.341551100;10.478671263947300;10765731.645140900;344.834942893163
1630;TOI-833 b;0.006;0.1133;0.0171;5200000000.0;M0V;41.7;0.016557023008060800;78545.94714851880;10.27210323975090;95602.20927515110;84.3947105711204
219;GJ 486 b;0.00887;0.11643;0.016473;5200000000.0;M3.5V;8.0761;0.12512409102828200;94373288.68048940;10.054960569988400;19491976.25038310;486.8258017315240
1314;L 168-9 b;0.01265;0.1392;0.0203424;5200000000.0;M2V;25.1496;0.044241327659610800;195567.32606103100;9.955180302021760;217758.95871458500;89.40656235749390
1564;TOI-260 b;0.02961;0.1454;0.030176000000000000;5200000000.0;M0V;20.21;0.035066162236245900;46396.58257269120;9.387713364580230;58495.60261593180;74.4599249875709
225;GJ 649 b;0.328;0.8818602831553050;0.7945;5200000000.0;M2V;10.34;0.14018301282645500;63516.72056058380;9.359892612377450;5427.537428724060;1095.3580538959300
1426;Qatar-9 b;1.19;1.9;0.0234;7500000000.0;K5V;211.4;0.02241306661555220;14942.394787640000;9.33407887292633;42444.074327932200;32.860533232656400
